Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
779c93c5232	22	78	57	21	3	0	1	4
bce41fac945	9	973	126	847	9	0	3	21
ee048aa3abc	6	3	3	0	1	0	0	3
a3d7782c08a	18	13	1	12	1	0	0	6
29e929de1eb	1	10	5	5	1	0	0	4
65e6ba9cce7	19	32	16	16	2	0	0	7
85357abba11	6	49	38	11	1	0	0	3
79ce48d3f02	18	8	4	4	1	0	0	3
6cb15403d34	20	11	0	11	1	0	0	2
de0066c697e	23	1	0	1	1	0	0	4
8fe5712477e	23	349	349	0	5	2	0	3
66293f6e98e	7	10	5	5	1	0	0	2
af014c1a5ef	0	26	18	8	1	0	0	5
f1647043830	23	49	49	0	1	0	0	2
99757cbeb22	5	10	8	2	1	0	0	4
107b05772a0	23	1	0	1	1	0	0	4
971c3d90eb1	0	15	0	15	1	0	0	5
5ca3dcd127b	19	19	15	4	2	0	0	7
69b73f9cf0d	16	40	26	14	2	0	0	6
8498ee03bc2	0	84	59	25	1	0	0	5
0a5708c3e99	20	37	31	6	2	1	0	6
cc2ac1ccc77	23	244	0	244	4	0	2	2
f35a396c54b	22	244	244	0	4	2	0	6
56315494dd5	22	7	4	3	1	0	0	4
6d7aa65399e	1	5	4	1	1	0	0	4
3060266ff14	8	48	48	0	3	0	0	5
cc922340683	23	5	4	1	1	0	0	4
143aeb9ea71	23	197	157	40	14	0	0	4
24a69d22a0e	22	72	38	34	4	0	0	4
434ccd2e20b	1	2	1	1	1	0	0	4
5496e67f83a	22	106	100	6	5	0	0	5
6545a6dc5dd	0	16	5	11	1	0	0	9
1a9286c6e9e	1	2	1	1	1	0	0	8
7335a4234aa	0	4	2	2	1	0	0	4
5d89540b776	21	1	1	0	1	0	0	4
f84d86b6605	23	1	1	0	1	0	0	4
09329e78332	21	319	191	128	12	6	5	7
13324bf844d	22	31	19	12	3	0	0	5
ec90ede1cf1	2	10	5	5	3	0	0	3
2095eea3da7	20	45	36	9	3	0	1	15
319580953d6	3	24	23	1	1	0	0	4
1f16a7b6e54	8	215	173	42	5	2	0	5
3e7f4b0f822	7	33	30	3	1	1	0	3
dd4b280d8cb	21	46	41	5	4	0	0	4
99c9d19184f	21	38	36	2	3	0	0	3
b24cdb3d362	23	13	9	4	3	0	0	5
8e2c014e438	0	36	23	13	2	0	0	6
06a22e2ea13	0	1	0	1	1	0	0	3
da3356bb388	23	1920	1887	33	36	0	0	4
88cc688731e	1	1	1	0	1	0	0	3
500c8f45f52	20	2082	130	1952	18	0	10	8
45822da46a6	2	1	0	1	1	0	0	3
d6bae2cb950	19	16	9	7	2	0	0	5
